GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TP1,tableau,TriTableau,204,123,24,12,41,25,17,11,4,6
TP1,operation,Somme,0,7,0,0,0,2,0,2,0,2
